id,email,created_at,updated_at,first_name,last_name,orders_count,state,total_spent,last_order_id,note,verified_email,multipass_identifier,tax_exempt,tags,last_order_name,currency,phone,addresses,tax_exemptions,email_marketing_consent,sms_marketing_consent,admin_graphql_api_id,default_address
8875746328917,karine.ruby@example.com,2024-12-17T18:01:43-05:00,2024-12-17T18:10:55-05:00,Karine,Ruby,3,disabled,3601.72,6436278993237.0,,True,,False,,#1005,GBP,+16135550142,[],[],"{'state': 'not_subscribed', 'opt_in_level': 'single_opt_in', 'consent_updated_at': None}","{'state': 'not_subscribed', 'opt_in_level': 'single_opt_in', 'consent_updated_at': None, 'consent_collected_from': 'OTHER'}",gid://shopify/Customer/8875746328917,
8875746361685,ayumu.hirano@example.com,2024-12-17T18:01:43-05:00,2024-12-17T18:01:43-05:00,Ayumu,Hirano,0,disabled,0.00,,,True,,False,,,GBP,+16135550127,[],[],"{'state': 'not_subscribed', 'opt_in_level': 'single_opt_in', 'consent_updated_at': None}","{'state': 'not_subscribed', 'opt_in_level': 'single_opt_in', 'consent_updated_at': None, 'consent_collected_from': 'OTHER'}",gid://shopify/Customer/8875746361685,
8875746394453,russel.winfield@example.com,2024-12-17T18:01:43-05:00,2024-12-17T18:11:05-05:00,Russell,Winfield,4,disabled,6686.14,6436279058773.0,This customer is created with most available fields,True,,False,VIP,#1007,GBP,+16135550135,"[{'id': 10915029844309, 'customer_id': 8875746394453, 'first_name': 'Russell', 'last_name': 'Winfield', 'company': 'Company Name', 'address1': '105 Victoria St', 'address2': None, 'city': 'Toronto', 'province': 'Ontario', 'country': 'Canada', 'zip': 'M5C 1N7', 'phone': None, 'name': 'Russell Winfield', 'province_code': 'ON', 'country_code': 'CA', 'country_name': 'Canada', 'default': True}, {'id': 10915020865877, 'customer_id': 8875746394453, 'first_name': 'Russell', 'last_name': 'Winfield', 'company': 'Company Name', 'address1': '105 Victoria St', 'address2': None, 'city': 'Toronto', 'province': None, 'country': 'Canada', 'zip': 'M5C1N7', 'phone': None, 'name': 'Russell Winfield', 'province_code': None, 'country_code': 'CA', 'country_name': 'Canada', 'default': False}]",[],"{'state': 'not_subscribed', 'opt_in_level': 'single_opt_in', 'consent_updated_at': None}","{'state': 'not_subscribed', 'opt_in_level': 'single_opt_in', 'consent_updated_at': None, 'consent_collected_from': 'OTHER'}",gid://shopify/Customer/8875746394453,"{'id': 10915029844309, 'customer_id': 8875746394453, 'first_name': 'Russell', 'last_name': 'Winfield', 'company': 'Company Name', 'address1': '105 Victoria St', 'address2': None, 'city': 'Toronto', 'province': 'Ontario', 'country': 'Canada', 'zip': 'M5C 1N7', 'phone': None, 'name': 'Russell Winfield', 'province_code': 'ON', 'country_code': 'CA', 'country_name': 'Canada', 'default': True}"
8879036957013,egnition_sample_20241220012948_1@egnition.com,2024-12-19T09:29:48-05:00,2024-12-19T09:33:27-05:00,Vincent,Harrell,6,disabled,1.20,6438544212309.0,,True,,False,"egnition-sample-data, referral",#1026,GBP,+41338851798,"[{'id': 10917532533077, 'customer_id': 8879036957013, 'first_name': 'Vincent', 'last_name': 'Harrell', 'company': None, 'address1': '5758 A, Street', 'address2': None, 'city': 'Hyeres', 'province': None, 'country': 'Switzerland', 'zip': '82995', 'phone': '+41338857341', 'name': 'Vincent Harrell', 'province_code': None, 'country_code': 'CH', 'country_name': 'Switzerland', 'default': True}]",[],"{'state': 'not_subscribed', 'opt_in_level': 'single_opt_in', 'consent_updated_at': None}","{'state': 'not_subscribed', 'opt_in_level': 'single_opt_in', 'consent_updated_at': None, 'consent_collected_from': 'OTHER'}",gid://shopify/Customer/8879036957013,"{'id': 10917532533077, 'customer_id': 8879036957013, 'first_name': 'Vincent', 'last_name': 'Harrell', 'company': None, 'address1': '5758 A, Street', 'address2': None, 'city': 'Hyeres', 'province': None, 'country': 'Switzerland', 'zip': '82995', 'phone': '+41338857341', 'name': 'Vincent Harrell', 'province_code': None, 'country_code': 'CH', 'country_name': 'Switzerland', 'default': True}"
8879036989781,egnition_sample_20241220012948_2@egnition.com,2024-12-19T09:29:48-05:00,2024-12-19T09:34:31-05:00,Chadwick,Lynch,5,disabled,0.40,6438545588565.0,,True,,False,"egnition-sample-data, VIP",#1030,GBP,+49917180362,"[{'id': 10917532565845, 'customer_id': 8879036989781, 'first_name': 'Chadwick', 'last_name': 'Lynch', 'company': None, 'address1': 'P.O. Box 816, 562 Pulvinar Rd.', 'address2': None, 'city': 'Bochum', 'province': None, 'country': 'Kazakhstan', 'zip': '23481', 'phone': '+17931826340', 'name': 'Chadwick Lynch', 'province_code': None, 'country_code': 'KZ', 'country_name': 'Kazakhstan', 'default': True}]",[],"{'state': 'not_subscribed', 'opt_in_level': 'single_opt_in', 'consent_updated_at': None}","{'state': 'not_subscribed', 'opt_in_level': 'single_opt_in', 'consent_updated_at': None, 'consent_collected_from': 'OTHER'}",gid://shopify/Customer/8879036989781,"{'id': 10917532565845, 'customer_id': 8879036989781, 'first_name': 'Chadwick', 'last_name': 'Lynch', 'company': None, 'address1': 'P.O. Box 816, 562 Pulvinar Rd.', 'address2': None, 'city': 'Bochum', 'province': None, 'country': 'Kazakhstan', 'zip': '23481', 'phone': '+17931826340', 'name': 'Chadwick Lynch', 'province_code': None, 'country_code': 'KZ', 'country_name': 'Kazakhstan', 'default': True}"
8879037055317,egnition_sample_20241220012948_3@egnition.com,2024-12-19T09:29:49-05:00,2024-12-19T09:34:25-05:00,Len,Ramirez,9,disabled,1.00,6438545457493.0,,True,,False,egnition-sample-data,#1029,GBP,+262269607936,"[{'id': 10917532598613, 'customer_id': 8879037055317, 'first_name': 'Len', 'last_name': 'Ramirez', 'company': None, 'address1': 'P.O. Box 712, 4930 Adipiscing, Rd.', 'address2': None, 'city': 'Hartford', 'province': None, 'country': 'Mayotte', 'zip': '301052', 'phone': '+262269601958', 'name': 'Len Ramirez', 'province_code': None, 'country_code': 'YT', 'country_name': 'Mayotte', 'default': True}]",[],"{'state': 'not_subscribed', 'opt_in_level': 'single_opt_in', 'consent_updated_at': None}","{'state': 'not_subscribed', 'opt_in_level': 'single_opt_in', 'consent_updated_at': None, 'consent_collected_from': 'OTHER'}",gid://shopify/Customer/8879037055317,"{'id': 10917532598613, 'customer_id': 8879037055317, 'first_name': 'Len', 'last_name': 'Ramirez', 'company': None, 'address1': 'P.O. Box 712, 4930 Adipiscing, Rd.', 'address2': None, 'city': 'Hartford', 'province': None, 'country': 'Mayotte', 'zip': '301052', 'phone': '+262269601958', 'name': 'Len Ramirez', 'province_code': None, 'country_code': 'YT', 'country_name': 'Mayotte', 'default': True}"
8879037153621,egnition_sample_20241220012948_4@egnition.com,2024-12-19T09:29:49-05:00,2024-12-19T09:29:49-05:00,Buckminster,Dixon,0,disabled,0.00,,,True,,False,"egnition-sample-data, VIP",,GBP,+59546818926,"[{'id': 10917532631381, 'customer_id': 8879037153621, 'first_name': 'Buckminster', 'last_name': 'Dixon', 'company': None, 'address1': '3508 Pharetra. Av.', 'address2': None, 'city': 'Nantes', 'province': None, 'country': 'Paraguay', 'zip': '42621', 'phone': '+59546819536', 'name': 'Buckminster Dixon', 'province_code': None, 'country_code': 'PY', 'country_name': 'Paraguay', 'default': True}]",[],"{'state': 'not_subscribed', 'opt_in_level': 'single_opt_in', 'consent_updated_at': None}","{'state': 'not_subscribed', 'opt_in_level': 'single_opt_in', 'consent_updated_at': None, 'consent_collected_from': 'OTHER'}",gid://shopify/Customer/8879037153621,"{'id': 10917532631381, 'customer_id': 8879037153621, 'first_name': 'Buckminster', 'last_name': 'Dixon', 'company': None, 'address1': '3508 Pharetra. Av.', 'address2': None, 'city': 'Nantes', 'province': None, 'country': 'Paraguay', 'zip': '42621', 'phone': '+59546819536', 'name': 'Buckminster Dixon', 'province_code': None, 'country_code': 'PY', 'country_name': 'Paraguay', 'default': True}"
8879037186389,egnition_sample_20241220012948_5@egnition.com,2024-12-19T09:29:49-05:00,2024-12-19T09:29:49-05:00,Hamish,Medina,0,disabled,0.00,,,True,,False,"egnition-sample-data, referral",,GBP,+25722291782,"[{'id': 10917532664149, 'customer_id': 8879037186389, 'first_name': 'Hamish', 'last_name': 'Medina', 'company': None, 'address1': 'Ap #170-5035 Ullamcorper. Avenue', 'address2': None, 'city': 'Broken Arrow', 'province': None, 'country': 'Burundi', 'zip': '9824ZS', 'phone': '+25722298425', 'name': 'Hamish Medina', 'province_code': None, 'country_code': 'BI', 'country_name': 'Burundi', 'default': True}]",[],"{'state': 'not_subscribed', 'opt_in_level': 'single_opt_in', 'consent_updated_at': None}","{'state': 'not_subscribed', 'opt_in_level': 'single_opt_in', 'consent_updated_at': None, 'consent_collected_from': 'OTHER'}",gid://shopify/Customer/8879037186389,"{'id': 10917532664149, 'customer_id': 8879037186389, 'first_name': 'Hamish', 'last_name': 'Medina', 'company': None, 'address1': 'Ap #170-5035 Ullamcorper. Avenue', 'address2': None, 'city': 'Broken Arrow', 'province': None, 'country': 'Burundi', 'zip': '9824ZS', 'phone': '+25722298425', 'name': 'Hamish Medina', 'province_code': None, 'country_code': 'BI', 'country_name': 'Burundi', 'default': True}"
8879037251925,egnition_sample_20241220012948_6@egnition.com,2024-12-19T09:29:50-05:00,2024-12-19T09:29:50-05:00,Oscar,Buck,0,disabled,0.00,,,True,,False,"egnition-sample-data, VIP",,GBP,+4723215423,"[{'id': 10917532696917, 'customer_id': 8879037251925, 'first_name': 'Oscar', 'last_name': 'Buck', 'company': None, 'address1': '5653 Luctus Road', 'address2': None, 'city': 'Baton Rouge', 'province': None, 'country': 'Norway', 'zip': '10614', 'phone': '+4723213270', 'name': 'Oscar Buck', 'province_code': None, 'country_code': 'NO', 'country_name': 'Norway', 'default': True}]",[],"{'state': 'not_subscribed', 'opt_in_level': 'single_opt_in', 'consent_updated_at': None}","{'state': 'not_subscribed', 'opt_in_level': 'single_opt_in', 'consent_updated_at': None, 'consent_collected_from': 'OTHER'}",gid://shopify/Customer/8879037251925,"{'id': 10917532696917, 'customer_id': 8879037251925, 'first_name': 'Oscar', 'last_name': 'Buck', 'company': None, 'address1': '5653 Luctus Road', 'address2': None, 'city': 'Baton Rouge', 'province': None, 'country': 'Norway', 'zip': '10614', 'phone': '+4723213270', 'name': 'Oscar Buck', 'province_code': None, 'country_code': 'NO', 'country_name': 'Norway', 'default': True}"
8879037317461,egnition_sample_20241220012948_7@egnition.com,2024-12-19T09:29:50-05:00,2024-12-19T09:29:50-05:00,Howard,Hahn,0,disabled,0.00,,,True,,False,"egnition-sample-data, VIP",,GBP,+255688059758,"[{'id': 10917532729685, 'customer_id': 8879037317461, 'first_name': 'Howard', 'last_name': 'Hahn', 'company': None, 'address1': 'P.O. Box 269, 705 Duis Av.', 'address2': None, 'city': 'Zaragoza', 'province': None, 'country': 'Tanzania, United Republic Of', 'zip': '6624', 'phone': '+255688057983', 'name': 'Howard Hahn', 'province_code': None, 'country_code': 'TZ', 'country_name': 'Tanzania, United Republic Of', 'default': True}]",[],"{'state': 'not_subscribed', 'opt_in_level': 'single_opt_in', 'consent_updated_at': None}","{'state': 'not_subscribed', 'opt_in_level': 'single_opt_in', 'consent_updated_at': None, 'consent_collected_from': 'OTHER'}",gid://shopify/Customer/8879037317461,"{'id': 10917532729685, 'customer_id': 8879037317461, 'first_name': 'Howard', 'last_name': 'Hahn', 'company': None, 'address1': 'P.O. Box 269, 705 Duis Av.', 'address2': None, 'city': 'Zaragoza', 'province': None, 'country': 'Tanzania, United Republic Of', 'zip': '6624', 'phone': '+255688057983', 'name': 'Howard Hahn', 'province_code': None, 'country_code': 'TZ', 'country_name': 'Tanzania, United Republic Of', 'default': True}"
